,Municipios,Eleccion1,Votos depositados,Votos Validos,PLC,AFSLN,YATAMA,ALN,APRE,APLI,Municipio,Winner
223,JALAPA,ALCALDE Y VICEALCALDE,17871,17372,2610,11885,0,949,977,951,Jalapa,AFSLN
224,MACUELIZO,ALCALDE Y VICEALCALDE,2765,2653,396,1931,0,15,152,159,Macuelizo,AFSLN
225,MOZONEE,ALCALDE Y VICEALCALDE,3546,3420,750,2260,0,136,133,141,Mozonte,AFSLN
226,MURRA,ALCALDE Y VICEALCALDE,5581,5340,780,3158,0,947,234,221,Murra,AFSLN
227,OCOTAL,ALCALDE Y VICEALCALDE,13004,12384,1509,8989,0,624,624,638,Ocotal,AFSLN
228,QUILALI,ALCALDE Y VICEALCALDE,9179,8971,1632,5840,0,511,505,483,Quilalí,AFSLN
229,SAN FERNANDO,ALCALDE Y VICEALCALDE,4379,4198,608,3061,0,169,185,175,San Fernando,AFSLN
230,SANTA MARIA,ALCALDE Y VICEALCALDE,1956,1905,177,1626,0,0,102,0,Santa María,AFSLN
231,WIWILI-NUEVA SEGOVIA,ALCALDE Y VICEALCALDE,5860,5776,915,3952,0,288,294,327,Wiwilí de Nueva Segovia,AFSLN
232,CIUDAD ANTIGUA,CONCEJALES MUNICIPALES,3388,3235,1101,1976,0,62,55,41,Ciudad Antigua,AFSLN
233,DIPILTO,CONCEJALES MUNICIPALES,1895,1757,110,1545,0,67,0,35,Dipilto,AFSLN
234,EL JICARO,CONCEJALES MUNICIPALES,8725,8574,784,6976,0,313,287,214,Jícaro,AFSLN
235,JALAPA,CONCEJALES MUNICIPALES,17871,17372,1828,13668,0,718,687,471,Jalapa,AFSLN
236,MACUELIZO,CONCEJALES MUNICIPALES,2765,2653,286,2165,0,24,104,74,Macuelizo,AFSLN
237,MOZONTE,CONCEJALES MUNICIPALES,3546,3420,549,2610,0,101,93,67,Mozonte,AFSLN
238,MURRA,CONCEJALES MUNICIPALES,5581,5340,576,3694,0,795,165,110,Murra,AFSLN
239,OCOIAL,CONCEJALES MUNICIPALES,13004,12384,1082,10064,0,475,437,326,Ocotal,AFSLN
240,QUILALI,CONCEJALES MUNICIPALES,9179,8971,1160,6832,0,384,353,242,Quilalí,AFSLN
241,SAN FERNANDO,CONCEJALES MUNICIPALES,4379,4198,446,3407,0,125,131,89,San Fernando,AFSLN
242,SANTA MARIA,CONCEJALES MUNICIPALES,1956,1905,129,1705,0,0,71,0,Santa María,AFSLN
243,WIWILLNUEVA SEGOVIA,CONCEJALES MUNICIPALES,5860,5777,648,4557,0,217,203,152,Wiwilí de Nueva Segovia,AFSLN
244,BONANZA,ALCALDE Y VICEALCALDE,16258,15832,1317,13383,112,0,498,522,Bonanza,AFSLN
245,MULUKUKU,ALCALDE Y VICEALCALDE,11117,10858,3333,5967,23,500,522,513,Mulukukú,AFSLN
246,PRINZAPOLKA,ALCALDE Y VICEALCALDE,7529,7223,1087,3557,2515,15,18,31,Prinzapolka,AFSLN
247,PUERTO CABEZAS,ALCALDE Y VICEALCALDE,27784,26607,394,15289,10724,65,47,88,Puerto Cabezas,AFSLN
248,ROSITA,ALCALDE Y VICEALCALDE,15195,14680,2957,9313,140,745,761,764,Rosita,AFSLN
249,S1UNA,ALCALDE Y VICEALCALDE,25023,23977,3886,16594,66,1151,1138,1142,Siuna,AFSLN
250,WASPAN,ALCALDE Y VICEALCALDE,13878,13398,276,6579,6455,37,34,17,Waspam,AFSLN
251,BONANZA,CONCEJALES MUNICIPALES,16262,15767,1044,13953,144,0,354,272,Bonanza,AFSLN
252,MULUKUKU,CONCEJALES MUNICIPALES,11116,10857,2438,7402,24,382,361,250,Mulukukú,AFSLN
253,PRINZAPOLKA,CONCEJALES MUNICIPALES,7427,7074,1037,3483,2502,10,15,27,Prinzapolka,AFSLN
254,PUERTO CABEZAS,CONCEJALES MUNICIPALES,27746,26526,398,15236,10699,64,43,86,Puerto Cabezas,AFSLN
255,ROSITA,CONCEJALES MUNICIPALES,15195,14680,2126,10937,140,563,532,382,Rosita,AFSLN
256,SI UNA,CONCEJALES MUNICIPALES,24934,23834,2871,18633,64,880,808,578,Siuna,AFSLN
257,WASPAN,CONCEJALES MUNICIPALES,13778,13310,263,6509,6458,32,34,14,Waspam,AFSLN
258,BLUEFIELDS,ALCALDE Y VICEALCALDE,19176,18377,3492,11849,171,1016,917,932,Bluefields,AFSLN
259,BOCANA DE PAIWAS,ALCALDE Y VICEALCALDE,8409,8014,3795,4069,0,0,150,0,Paiwas,AFSLN
260,CORN ISLAND,ALCALDE Y VICEALCALDE,2829,2771,255,2039,262,0,100,115,Corn Island,AFSLN
261,ELTORTUGUERO,ALCALDE Y VICEALCALDE,9127,8812,3606,4187,0,358,309,352,El Tortuguero,AFSLN
262,KUKRA IIILL,ALCALDE Y VICEALCALDE,7101,6968,476,5845,8,215,206,218,Kukrahill,AFSLN
263,LA CRUZ DE RIO GRANDE,ALCALDE Y VICEALCALDE,6353,5999,2617,3071,9,93,85,124,La Cruz de Río Grande,AFSLN
264,"LA DESEMBOCADURA DE 
RIO GRANDE",ALCALDE Y VICEALCALDE,2480,2401,5,1461,931,3,1,0,Desembocadura de Río Grande,AFSLN
265,LAGUNA DE PERLAS,ALCALDE Y VICEALCALDE,3991,3819,471,2626,382,115,102,123,Laguna de Perlas,AFSLN
266,BLUEFIELDS,CONCEJALES MUNICIPALES,19186,18378,2578,13674,169,804,636,517,Bluefields,AFSLN
267,BOCANA DE PAIWAS,CONCEJALES MUNICIPALES,8309,7837,3498,4224,0,0,115,0,Paiwas,AFSLN
268,CORN ISLAND,CONCEJALES MUNICIPALES,2821,2763,187,2186,262,0,71,57,Corn Island,AFSLN
269,ELTORTUGUERO,CONCEJALES MUNICIPALES,9041,8652,2869,5103,0,281,219,180,El Tortuguero,AFSLN
270,KUKRA HILL,CONCEJALES MUNICIPALES,7093,6957,351,6173,7,166,144,116,Kukrahill,AFSLN
271,LA CRUZ DE RIO GRANDE,CONCEJALES MUNICIPALES,6352,5827,2336,3254,29,68,63,77,La Cruz de Río Grande,AFSLN
272,"LA DESEMBOCADURA DE 
RIO GRANDE",CONCEJALES MUNICIPALES,2480,2402,5,1459,934,3,1,0,Desembocadura de Río Grande,AFSLN
273,LAGUNA DE PERLAS,CONCEJALES MUNICIPALES,3982,3751,352,2786,392,90,70,61,Laguna de Perlas,AFSLN
274,EL ALMENDRO,ALCALDE Y VICEALCALDE,4183,4081,347,3262,0,162,151,159,El Almendro,AFSLN
275,EL CASTILLO,ALCALDE Y VICEALCALDE,6730,6563,965,4657,0,332,311,298,El Castillo,AFSLN
276,MORRITO,ALCALDE Y VICEALCALDE,2778,2718,304,2038,0,127,130,119,Morrito,AFSLN
277,SAN CARLOS,ALCALDE Y VICEALCALDE,16001,15649,1745,11613,0,790,750,751,San Carlos,AFSLN
278,SAN JUAN DE NICARAGUA,ALCALDE Y VICEALCALDE,935,903,55,760,0,0,50,38,San Juan de Nicaragua,AFSLN
279,SAN MIGUELITO,ALCALDE Y VICEALCALDE,6191,6136,652,4594,0,308,296,286,San Miguelito,AFSLN
280,EL ALMENDRO,CONCEJALES MUNICIPALES,4183,4081,250,3517,0,126,110,78,El Almendro,AFSLN
281,EL CASTILLO,CONCEJALES MUNICIPALES,6722,6556,691,5249,0,252,217,147,El Castillo,AFSLN
282,MORRITO,CONCEJALES MUNICIPALES,2778,2718,221,2244,0,97,95,61,Morrito,AFSLN
283,SAN CARLOS,CONCEJALES MUNICIPALES,15997,15650,1251,12893,0,599,528,379,San Carlos,AFSLN
284,SAN JUAN DE NICARAGUA,CONCEJALES MUNICIPALES,935,903,40,808,0,0,35,20,San Juan de Nicaragua,AFSLN
285,SAN MIGUELITO,CONCEJALES MUNICIPALES,6191,6136,466,5083,0,234,206,147,San Miguelito,AFSLN
286,ALTAGRACIA,ALCALDE Y VICEALCALDE,8130,7811,766,6300,0,0,370,375,Altagracia,AFSLN
287,BELEN,ALCALDE Y VICEALCALDE,6630,6449,363,5573,0,174,173,166,Belén,AFSLN
288,BUENOS AIRES,ALCALDE Y VICEALCALDE,3365,3229,182,2665,0,239,143,0,Buenos Aires,AFSLN
289,CARDENAS,ALCALDE Y VICEALCALDE,4221,4030,262,3290,0,153,167,158,Cárdenas,AFSLN
290,MOYOGALPA,ALCALDE Y VICEALCALDE,4616,4494,298,3593,0,200,192,211,Moyogalpa,AFSLN
291,POTOSI,ALCALDE Y VICEALCALDE,6592,6349,411,5448,0,262,0,228,Potosí,AFSLN
292,RIVAS,ALCALDE Y VICEALCALDE,19759,18859,1380,15556,0,1078,0,845,Rivas,AFSLN
293,SAN JORGE,ALCALDE Y VICEALCALDE,4570,4353,506,3505,0,174,0,168,San Jorge,AFSLN
294,SAN JUAN DEL SUR,ALCALDE Y VICEALCALDE,8301,7961,574,6824,0,285,278,0,San Juan del Sur,AFSLN
295,TOLA,ALCALDE Y VICEALCALDE,12749,12355,682,10253,0,526,460,434,Tola,AFSLN
296,ALTAGRACIA,CONCEJALES MUNICIPALES,8103,7784,557,6773,0,0,260,194,Altagracia,AFSLN
297,BELEN,CONCEJALES MUNICIPALES,6630,6449,268,5846,0,135,119,81,Belén,AFSLN
298,BUENOS AIRES,CONCEJALES MUNICIPALES,3365,3229,130,2813,0,186,100,0,Buenos Aires,AFSLN
299,CARDENAS,CONCEJALES MUNICIPALES,4221,4030,195,3518,0,116,119,82,Cárdenas,AFSLN
300,MOYOGALPA,CONCEJALES MUNICIPALES,4616,4494,215,3887,0,151,135,106,Moyogalpa,AFSLN
301,POTOSI,CONCEJALES MUNICIPALES,6592,6349,303,5732,0,199,0,115,Potosí,AFSLN
302,RIVAS,CONCEJALES MUNICIPALES,19759,18861,967,16659,0,818,0,417,Rivas,AFSLN
303,SAN JORGE,CONCEJALES MUNICIPALES,4570,4353,350,3782,0,132,0,89,San Jorge,AFSLN
304,SAN JUAN DEL SUR,CONCEJALES MUNICIPALES,8301,7961,426,7120,0,220,195,0,San Juan del Sur,AFSLN
305,TOLA,CONCEJALES MUNICIPALES,12749,12355,492,10911,0,407,324,221,Tola,AFSLN
