,Municipios,Eleccion1,Votos depositados,Votos Validos,PLC,AFSLN,YATAMA,ALN,APRE,APLI,Municipio,Winner
44,CORINTO,CONCEJALES MUNICIPALES,6761,6534,656,5135,0,257,299,187,Corinto,AFSLN
45,EL REALEJO,CONCEJALES MUNICIPALES,4865,4717,239,4211,0,165,0,102,El Realejo,AFSLN
46,EL VIEJO,CONCEJALES MUNICIPALES,23270,22399,2325,17624,0,1078,872,500,El Viejo,AFSLN
47,POSOLTEGA,CONCEJALES MUNICIPALES,6955,6781,420,6013,0,205,0,143,Posoltega,AFSLN
48,PUERTO MORAZAN,CONCEJALES MUNICIPALES,4454,4293,556,3479,0,162,0,96,Puerto Morazán,AFSLN
49,"SAN FRANCISCO DEL 
NORTE",CONCEJALES MUNICIPALES,2639,2592,74,2434,0,50,0,34,San Francisco del Norte,AFSLN
50,SAN PEDRO DEL NORTE,CONCEJALES MUNICIPALES,2496,2454,108,2239,0,61,0,46,San Pedro del Norte,AFSLN
51,SANTO TOMAS DEL ÑOR TE,CONCEJALES MUNICIPALES,3105,3081,258,2699,0,124,0,0,Santo Tomás del Norte,AFSLN
52,SOMOTILLO,CONCEJALES MUNICIPALES,11398,11170,819,9959,0,392,0,0,Somotillo,AFSLN
53,VILLANUEVA,CONCEJALES MUNICIPALES,10054,9802,573,8987,0,242,0,0,Villanueva,AFSLN
54,ACOYA PA,ALCALDE Y VICEALCALDE,6889,6799,613,5558,0,209,214,205,Acoyapa,AFSLN
55,COMALAPA,ALCALDE Y VICEALCALDE,4115,3999,788,2783,0,153,141,134,Comalapa,AFSLN
56,EL AYOTE,ALCALDE Y VICEALCALDE,6667,6496,2445,4051,0,0,0,0,El Ayote,AFSLN
57,EL CORAL,ALCALDE Y VICEALCALDE,4426,4283,970,2719,0,209,201,184,El Coral,AFSLN
58,EL RAMA,ALCALDE Y VICEALCALDE,15170,14578,2407,10851,0,0,669,651,El Rama,AFSLN
59,JUIGALPA,ALCALDE Y VICEALCALDE,21245,20448,2233,15286,0,1002,957,970,Juigalpa,AFSLN
60,LA LIBERTAD,ALCALDE Y VICEALCALDE,5508,5392,358,4481,0,178,192,183,La Libertad,AFSLN
61,MUELLE DE LOS BUEYES,ALCALDE Y VICEALCALDE,9260,8811,2723,5423,0,251,212,202,Muelle de Los Bueyes,AFSLN
62,NUEVA GUINEA,ALCALDE Y VICEALCALDE,22973,22274,4549,14218,0,1154,1170,1183,Nueva Guinea,AFSLN
63,SAN FRANCISCO DE CUAPA,ALCALDE Y VICEALCALDE,2715,2596,333,1991,0,0,144,128,San Francisco de Cuapa,AFSLN
64,SAN PEDRO DE LOVAGO,ALCALDE Y VICEALCALDE,4376,4299,211,3596,0,161,162,169,San Pedro de Lóvago,AFSLN
65,SANTO DOMINGO,ALCALDE Y VICEALCALDE,6618,6373,2610,3030,0,240,238,255,Santo Domingo,AFSLN
66,SANTO TOMAS,ALCALDE Y VICEALCALDE,7296,7100,783,5304,0,343,348,322,Santo Tomás,AFSLN
67,VILLA SANDINO,ALCALDE Y VICEALCALDE,4712,4528,940,2882,0,243,228,235,Villa Sandino,AFSLN
68,ACOYAPA,CONCEJALES MUNICIPALES,6889,6800,478,5906,0,162,153,101,Acoyapa,AFSLN
69,COMALAPA,CONCEJALES MUNICIPALES,4115,3999,631,3086,0,119,100,63,Comalapa,AFSLN
70,EL AYOTE,CONCEJALES MUNICIPALES,6667,6496,1914,4582,0,0,0,0,El Ayote,AFSLN
71,EL CORAL,CONCEJALES MUNICIPALES,4426,4283,724,3168,0,160,140,91,El Coral,AFSLN
72,EL RAMA,CONCEJALES MUNICIPALES,15170,14572,1795,11964,0,0,479,334,El Rama,AFSLN
73,JUIGALPA,CONCEJALES MUNICIPALES,21245,20448,1586,16955,0,761,667,479,Juigalpa,AFSLN
74,LA LIBERTAD,CONCEJALES MUNICIPALES,5508,5392,267,4767,0,134,132,92,La Libertad,AFSLN
75,MUELLE DE LOS BUEYES,CONCEJALES MUNICIPALES,9244,8768,2307,6008,0,198,152,103,Muelle de Los Bueyes,AFSLN
76,NUEVA GUINEA,CONCEJALES MUNICIPALES,22973,22274,3356,16623,0,872,824,599,Nueva Guinea,AFSLN
77,SAN FRANCISCO DE CUAPA,CONCEJALES MUNICIPALES,2715,2596,234,2199,0,0,99,64,San Francisco de Cuapa,AFSLN
78,SAN PEDRO DE LOVAGO,CONCEJALES MUNICIPALES,4376,4299,157,3815,0,121,116,90,San Pedro de Lóvago,AFSLN
79,SANTO DOMINGO,CONCEJALES MUNICIPALES,6618,6366,1924,3966,0,178,168,130,Santo Domingo,AFSLN
80,SANTO TOMAS,CONCEJALES MUNICIPALES,7296,7100,552,5881,0,262,243,162,Santo Tomás,AFSLN
81,VILLA SANDINO,CONCEJALES MUNICIPALES,4712,4528,688,3383,0,182,159,116,Villa Sandino,AFSLN
82,CONDEGA,ALCALDE Y VICEALCALDE,9947,9604,1086,7159,0,442,465,452,Condega,AFSLN
83,ESTELI,ALCALDE Y VICEALCALDE,44167,42906,4975,32088,0,1948,1951,1944,Estelí,AFSLN
84,LA TRINIDAD,ALCALDE Y VICEALCALDE,8515,8381,857,6438,0,360,361,365,La Trinidad,AFSLN
85,PUEBLO NUEVO,ALCALDE Y VICEALCALDE,6654,6406,507,5266,0,205,218,210,Pueblo Nuevo,AFSLN
86,SAN JUAN DE LIMAY,ALCALDE Y VICEALCALDE,4700,4631,349,3741,0,172,182,187,San Juan de Limay,AFSLN
87,SAN NICOLAS,ALCALDE Y VICEALCALDE,3626,3599,431,2844,0,133,90,101,San Nicolás,AFSLN
88,CONDEGA,CONCEJALES MUNICIPALES,9947,9604,782,7936,0,336,327,223,Condega,AFSLN
89,ESTELI,CONCEJALES MUNICIPALES,44167,42901,3584,35480,0,1492,1381,964,Estelí,AFSLN
90,LA TRINIDAD,CONCEJALES MUNICIPALES,8515,8381,607,7066,0,271,252,185,La Trinidad,AFSLN
91,PUEBLO NUEVO,CONCEJALES MUNICIPALES,6654,6406,373,5614,0,156,156,107,Pueblo Nuevo,AFSLN
92,SAN JUAN DE LIMAY,CONCEJALES MUNICIPALES,4700,4631,248,4031,0,133,128,91,San Juan de Limay,AFSLN
93,SAN NICOLAS,CONCEJALES MUNICIPALES,3626,3599,355,3025,0,103,62,54,San Nicolás,AFSLN
94,DIRIA,ALCALDE Y VICEALCALDE,3434,3250,250,2681,0,151,151,17,Diriá,AFSLN
95,DIRIOMO,ALCALDE Y VICEALCALDE,9761,9283,940,7062,0,455,400,426,Diriomo,AFSLN
96,GRANADA,ALCALDE Y VICEALCALDE,39327,37919,4869,27424,0,1931,1890,1805,Granada,AFSLN
97,NANDAIME,ALCALDE Y VICEALCALDE,13341,12726,1330,10291,0,581,0,524,Nandaime,AFSLN
98,DIRIA,CONCEJALES MUNICIPALES,3434,3250,177,2831,0,117,108,17,Diriá,AFSLN
99,DIRIOMO,CONCEJALES MUNICIPALES,9761,9283,683,7756,0,351,280,213,Diriomo,AFSLN
100,GRANADA,CONCEJALES MUNICIPALES,39327,37910,3461,30717,0,1481,1339,912,Granada,AFSLN
101,NANDAIME,CONCEJALES MUNICIPALES,13341,12726,971,11045,0,447,0,263,Nandaime,AFSLN
102,ELCUA,ALCALDE Y VICEALCALDE,15901,15172,2494,11317,0,694,667,0,El Cuá,AFSLN
103,JINOTEGA,ALCALDE Y VICEALCALDE,39684,37451,3752,28411,0,1941,1649,1698,Jinotega,AFSLN
104,LA CONCORDIA,ALCALDE Y VICEALCALDE,3246,3155,276,2612,0,137,130,0,La Concordia,AFSLN
105,SAN JOSE DE BOCAY,ALCALDE Y VICEALCALDE,17200,16825,2628,12702,0,879,616,0,San José de Bocay,AFSLN
106,SAN RAFAEL DEL NORTE,ALCALDE Y VICEALCALDE,7254,6784,709,5027,0,771,277,0,San Rafael del Norte,AFSLN
107,SAN SEBASTIAN DE YALI,ALCALDE Y VICEALCALDE,9539,9315,900,7105,0,569,371,370,San Sebastián de Yalí,AFSLN
108,"SANTA MARIA DE 
PANTASMA",ALCALDE Y VICEALCALDE,14607,13897,2787,9542,0,949,619,0,Santa María de Pantasma,AFSLN
109,WIWILI-JINOTEGA,ALCALDE Y VICEALCALDE,19347,19049,1403,16258,0,474,453,461,Wiwilí de Jinotega,AFSLN
110,ELCUA,CONCEJALES MUNICIPALES,15885,15147,1824,12321,0,533,469,0,El Cuá,AFSLN
111,JINOTEGA,CONCEJALES MUNICIPALES,40010,37739,2774,31382,0,1499,1175,909,Jinotega,AFSLN
112,LA CONCORDIA,CONCEJALES MUNICIPALES,3246,3155,202,2755,0,105,93,0,La Concordia,AFSLN
113,SAN JOSE DE BOCA Y,CONCEJALES MUNICIPALES,17246,16875,2026,13666,0,738,445,0,San José de Bocay,AFSLN
114,SAN RAFAEL DEL NORTE,CONCEJALES MUNICIPALES,7153,6667,541,5260,0,671,195,0,San Rafael del Norte,AFSLN
115,SAN SEBASTIAN DE YALI,CONCEJALES MUNICIPALES,9547,9324,674,7722,0,466,265,197,San Sebastián de Yalí,AFSLN
116,"SANTA MARIA DE 
PANTASMA",CONCEJALES MUNICIPALES,14607,13893,2067,10651,0,740,435,0,Santa María de Pantasma,AFSLN
117,W1WILI-JINOTEGA,CONCEJALES MUNICIPALES,19333,19040,1045,17070,0,363,324,238,Wiwilí de Jinotega,AFSLN
118,ACHUAPA,ALCALDE Y VICEALCALDE,4050,3953,576,2980,0,124,132,141,Achuapa,AFSLN
119,EL JICARAL,ALCALDE Y VICEALCALDE,3866,3766,327,3024,0,145,140,130,El Jicaral,AFSLN
120,EL SAUCE,ALCALDE Y VICEALCALDE,8629,8421,1454,6222,0,251,237,257,El Sauce,AFSLN
121,LA PAZ CENTRO,ALCALDE Y VICEALCALDE,9575,9211,1168,7556,0,0,487,0,La Paz Centro,AFSLN
122,LARREYNAGA,ALCALDE Y VICEALCALDE,11565,11180,1073,9288,0,425,0,394,Larreynaga,AFSLN
123,LEON,ALCALDE Y VICEALCALDE,71227,68806,8502,53260,0,3588,0,3456,León,AFSLN
124,NAGAROTE,ALCALDE Y VICEALCALDE,16304,15446,1073,12893,0,0,915,565,Nagarote,AFSLN
125,QUEZALGUAQUE,ALCALDE Y VICEALCALDE,4689,4520,382,3649,0,168,171,150,Quezalguaque,AFSLN
126,SANTA ROSA DEL PEÑON,ALCALDE Y VICEALCALDE,3465,3394,186,3049,0,0,80,79,Santa Rosa del Peñón,AFSLN
127,TEL1CA,ALCALDE Y VICEALCALDE,10034,9747,604,8455,0,347,341,0,Telica,AFSLN
128,ACHUAPA,CONCEJALES MUNICIPALES,4050,3952,477,3213,0,95,94,73,Achuapa,AFSLN
129,EL JICARAL,CONCEJALES MUNICIPALES,3866,3766,233,3256,0,114,101,62,El Jicaral,AFSLN
130,EL SAUCE,CONCEJALES MUNICIPALES,8629,8418,1175,6753,0,190,166,134,El Sauce,AFSLN
131,LA PAZ CENTRO,CONCEJALES MUNICIPALES,9540,9176,836,8000,0,0,340,0,La Paz Centro,AFSLN
132,LARREYNAGA,CONCEJALES MUNICIPALES,11565,11174,778,9871,0,329,0,196,Larreynaga,AFSLN
133,LEON,CONCEJALES MUNICIPALES,71229,68808,6140,58201,0,2731,0,1736,León,AFSLN
134,NAGAROTE,CONCEJALES MUNICIPALES,16304,15446,792,13709,0,0,658,287,Nagarote,AFSLN
135,QUEZALGUAQUE,CONCEJALES MUNICIPALES,4689,4520,290,3902,0,130,122,76,Quezalguaque,AFSLN
136,SANTA ROSA DEL PEÑON,CONCEJALES MUNICIPALES,3465,3394,156,3143,0,0,57,38,Santa Rosa del Peñón,AFSLN
137,TELICA,CONCEJALES MUNICIPALES,10034,9747,459,8777,0,267,244,0,Telica,AFSLN
138,LAS SABANAS,ALCALDE Y VICEALCALDE,2625,2547,111,2162,0,98,84,92,Las Sabanas,AFSLN
139,PALACAGUINA,ALCALDE Y VICEALCALDE,6087,5871,424,4462,0,402,287,296,Palacagüina,AFSLN
140,SAN JOSE DE CUSMAPA,ALCALDE Y VICEALCALDE,3022,2947,221,2296,0,144,140,146,San José de Cusmapa,AFSLN
141,SAN JUAN DEL RIO COCO,ALCALDE Y VICEALCALDE,8336,8086,1404,5369,0,423,448,442,San Juan del Río Coco,AFSLN
142,SAN LUCAS,ALCALDE Y VICEALCALDE,6110,5834,0,4922,0,487,215,210,San Lucas,AFSLN
143,SOMOTO,ALCALDE Y VICEALCALDE,13838,13216,1003,10950,0,670,0,593,Somoto,AFSLN
